Nr,Thema,Themenwörter
Topic1,"Wissenschaft & Technik", "werden, könn, ist, mehr, weit, möglich, wird, sowi, sind, neu, dabei, gibt, verwendet, verschied, unterschied, beid, bzw, bestimmt, zwei, entsprech"
Topic2,Fussball,"spiel, tor, beim, fc, erzielt, mannschaft, kam, train, rund, zwei, spielt, drei, einsatz, treff, minut, dabei, bestritt, letzt, konnt, final"
Topic3,Bildung,"universität, seit, sowi, wissenschaft, ab, mitglied, wien, institut, international, unternehm, österreich, tätig, arbeit, gesellschaft, neu, professor, hochschul, gegründet, studiert, geschicht"
Topic4,Familie,"spät, zeit, war, konnt, mehr, hatte, gross, bereit, während, ab, werk, frau, neu, alt, bekannt, kam, famili, weit, kind, damal"
Topic5,Dynastien,"könig, friedrich, johann, ii, sohn, heinrich, kais, wilhelm, karl, tod, herzog, graf, schloss, ludwig, vat, tocht, august, brud, iii, ehe"
Topic6,Verkehr,"streck, bahnhof, betrieb, neu, ab, züg, gleis, bahnstreck, richtung, abschnitt, seit, bau, bahn, lini, zwei, verkehr, eröffnet, dezemb, führt, werden"
Topic7,Geografie,"gemeind, stadt, ort, jahrhundert, gehört, liegt, seit, teil, landkreis, sowi, kreis, heut, dorf, einwohn, gebiet, etwa, gross, neu, strass, nördlich"
Topic8,Adel,"of, the, new, university, and, york, new york, of the, university of, london, colleg, john, school, lord, hous, britisch, william, national, während, titel"
Topic9,Schiffahrt,"schiff, ab, april, oktob, septemb, zwei, august, märz, juni, mai, juli, novemb, januar, konnt, dezemb, februar, während, kam, dien, neu"
Topic10,Sport,"platz, gewann, renn, zweit, sieg, erreicht, zwei, dritt, saison, beim, punkt, belegt, konnt, weltmeisterschaft, best, drei, team, kam, meisterschaft, olymp"
Topic11,Botanik,"art, lang, meist, gattung, etwa, breit, millimet, zwei, klein, zentimet, selt, met, wenig, gross, läng, blüt, drei, cm, mehr, tier"
Topic12,Geschichte,"deutsch, deutschland, verein, weltkrieg, reich, polnisch, pol, frankfurt, münch, für deutsch, deutsch reich, hamburg, gehört, französ, zweit weltkrieg, zweit, nationalsozialist, bund, deutsch meisterschaft, beim"
Topic13,Musik,"album, band, the, lied, veröffentlicht, song, erschi, singl, musik, titel, neu, platz, spielt, auf, grupp, record, erreicht, aufnahm, stück, weit"
Topic14,Film,"film, best, roll, spielt, regisseur, award, die, international, seit, sei, festival, the, der, ist, schauspiel, hat, seh, beid, hauptroll, regi"
Topic15,Könige,"de, la, französ, de la, paris, könig, frankreich, spanisch, spani, josé, san, le, del, juan, louis, regier, präsident, santa, et, el"
Topic16,Kirchen,"kirch, neu, st, evangel, jahrhundert, kathol, heut, klost, heilig, errichtet, pfarr, bischof, gehört, orgel, johann, turm, alt, zwei, seit, glock"
Topic17,Politik,"mitglied, partei, polit, gewählt, vorsitz, seit, amt, an, märz, trat, wahl, novemb, oktob, präsident, januar, mai, regier, stellvertret, ab, gehört"
Topic18,Hockey,"saison, verein, mannschaft, spielt, spielzeit, liga, leagu, konnt, wechselt, vertrag, team, hockey, folgend, neu, end, fc, aufstieg, nachd, ab, zurück"
Topic19,Definitionen,"üb, met, führt, rund, etwa, km, verfügt, brück, dabei, höh, richtung, weit, link, punkt, berg, recht, kampf, verfügt üb, hoh, verlor"
Topic20,Deutschland,"berlin, strass, ab, ddr, friedrich, preussisch, wilhelm, brandenburg, leipzig, neu, hamburg, bezirk, potsdam, erhielt, deutschland, august, weltkrieg, tätig, zunäch, gebäud"
