T,"Themenwörter min_df=20 max_df=0.6","Themenwörter min_df=200 max_df=0.2"
1,"werden, könn, ist, mehr, weit, möglich, wird, sowi, sind, neu, dabei, gibt, verwendet, verschied, unterschied, beid, bzw, bestimmt, zwei, entsprech","könn, unternehm, möglich, wird, sind, verschied, gibt, viel, besond, unterschied, verwendet, bereich, bzw, entwickelt, betrieb, entsprech, jeweil, entwickl, gmbh, stellt"
2,"spiel, tor, beim, fc, erzielt, mannschaft, kam, train, rund, zwei, spielt, drei, einsatz, treff, minut, dabei, bestritt, letzt, konnt, final","spiel, tor, erzielt, mannschaft, rund, fc, spielt, train, gewann, minut, punkt, final, treff, turni, nationalmannschaft, einsatz, team, olymp, verlor, bestritt"
3,"universität, seit, sowi, wissenschaft, ab, mitglied, wien, institut, international, unternehm, österreich, tätig, arbeit, gesellschaft, neu, professor, hochschul, gegründet, studiert, geschicht","universität, wissenschaft, institut, arbeit, professor, international, geschicht, studiert, hochschul, münch, gesellschaft, studium, arbeitet, akademi, institut für, medizin, promoviert, fakultät, beruf, lehr"
4,"spät, zeit, war, konnt, mehr, hatte, gross, bereit, während, ab, werk, frau, neu, alt, bekannt, kam, famili, weit, kind, damal",
5,"könig, friedrich, johann, ii, sohn, heinrich, kais, wilhelm, karl, tod, herzog, graf, schloss, ludwig, vat, tocht, august, brud, iii, ehe","könig, friedrich, johann, ii, heinrich, tod, kais, wilhelm, vat, karl, schloss, graf, herzog, tocht, ludwig, famili, starb, brud, kind, ehe"
6,"streck, bahnhof, betrieb, neu, ab, züg, gleis, bahnstreck, richtung, abschnitt, seit, bau, bahn, lini, zwei, verkehr, eröffnet, dezemb, führt, werden","streck, bahnhof, betrieb, züg, richtung, gleis, bahnstreck, abschnitt, bahn, bau, lini, verkehr, eröffnet, kilomet, verkehrt, zug, met, güterverkehr, strass, personenverkehr"
7,"gemeind, stadt, ort, jahrhundert, gehört, liegt, seit, teil, landkreis, sowi, kreis, heut, dorf, einwohn, gebiet, etwa, gross, neu, strass, nördlich","gemeind, stadt, ort, jahrhundert, liegt, landkreis, kreis, dorf, einwohn, gebiet, strass, nördlich, befindet, südlich, nord, ortsteil, entstand, klein, süd, kilomet"
8,"of, the, new, university, and, york, new york, of the, university of, london, colleg, john, school, lord, hous, britisch, william, national, während, titel","of, the, university, and, of the, london, university of, colleg, lord, hous, john, britisch, school, titel, hous of, royal, william, for, england, baron"
9,"schiff, ab, april, oktob, septemb, zwei, august, märz, juni, mai, juli, novemb, januar, konnt, dezemb, februar, während, kam, dien, neu","schiff, dien, britisch, zerstör, eingesetzt, lief, kreuz, japan, bord, februar, weltkrieg, gebaut, boot, werft, reederei, passagi, klass, schwer, marin, tag"
10,"platz, gewann, renn, zweit, sieg, erreicht, zwei, dritt, saison, beim, punkt, belegt, konnt, weltmeisterschaft, best, drei, team, kam, meisterschaft, olymp","platz, gewann, renn, sieg, erreicht, punkt, belegt, dritt, weltmeisterschaft, saison, best, meisterschaft, olymp, startet, rang, international, verlor, team, rund, viert"
