,Terms per Topic
Topic1,"könn, unternehm, möglich, wird, sind, verschied, gibt, viel, besond, unterschied, verwendet, bereich, bzw, entwickelt, betrieb, entsprech, jeweil, entwickl, gmbh, stellt"
Topic2,"saison, leagu, spielzeit, wechselt, spielt, hockey, vertrag, team, hockey leagu, nhl, karri, liga, erzielt, stand, insgesamt, somm, absolviert, anschliess, draft, aktiv"
Topic3,"album, band, the, lied, veröffentlicht, erschi, song, singl, musik, titel, spielt, platz, grupp, record, erreicht, stück, aufnahm, konzert, produziert, veröffentlich"
Topic4,"art, meist, gattung, breit, klein, millimet, selt, wenig, zentimet, met, läng, blüt, tier, vor, cm, häuf, weiss, sind, verbreitungsgebiet, kurz"
Topic5,"kirch, st, jahrhundert, evangel, kathol, klost, heilig, bischof, pfarr, errichtet, turm, orgel, gemeind, johann, glock, bau, befindet, chor, ort, jahr wurd"
Topic6,"streck, bahnhof, betrieb, züg, richtung, gleis, bahnstreck, abschnitt, bahn, bau, lini, verkehr, eröffnet, kilomet, verkehrt, zug, met, güterverkehr, strass, personenverkehr"
Topic7,"könig, friedrich, johann, ii, heinrich, tod, kais, wilhelm, vat, karl, schloss, graf, herzog, tocht, ludwig, famili, starb, brud, kind, ehe"
Topic8,"of, the, university, and, of the, london, university of, colleg, lord, hous, john, britisch, school, titel, hous of, royal, william, for, england, baron"
Topic9,"platz, gewann, renn, sieg, erreicht, punkt, belegt, dritt, weltmeisterschaft, saison, best, meisterschaft, olymp, startet, rang, international, verlor, team, rund, viert"
Topic10,"film, roll, best, spielt, sei, die, regisseur, frau, award, international, the, leb, festival, kind, hat, vat, schauspiel, seh, jung, hauptroll"
Topic11,"de, la, französ, paris, de la, könig, frankreich, spanisch, spani, josé, werk, san, le, del, juan, louis, van, ernannt, et, santa"
Topic12,"universität, wissenschaft, institut, arbeit, professor, international, geschicht, studiert, hochschul, münch, gesellschaft, studium, arbeitet, akademi, institut für, medizin, promoviert, fakultät, beruf, lehr"
Topic13,"schiff, dien, britisch, zerstör, eingesetzt, lief, kreuz, japan, bord, februar, weltkrieg, gebaut, boot, werft, reederei, passagi, klass, schwer, marin, tag"
Topic14,"spiel, tor, erzielt, mannschaft, rund, fc, spielt, train, gewann, minut, punkt, final, treff, turni, nationalmannschaft, einsatz, team, olymp, verlor, bestritt"
Topic15,"berlin, strass, weltkrieg, ddr, hamburg, preussisch, arbeitet, wilhelm, gebäud, leipzig, brandenburg, zweit weltkrieg, entstand, friedrich, potsdam, bezirk, jüdisch, die, han, arbeit"
Topic16,"partei, polit, gewählt, vorsitz, wahl, amt, regier, präsident, stimm, abgeordnet, staat, stellvertret, parlament, nachfolg, februar, landtag, demokrat, spd, wahlkreis, vertret"
Topic17,"verein, mannschaft, fc, saison, liga, aufstieg, spielt, train, sv, stieg, meisterschaft, gelang, bundesliga, meist, klub, sc, spielzeit, abstieg, oberliga, erreicht"
Topic18,"wien, österreich, salzburg, franz, kais, karl, josef, niederösterreich, graz, jänn, linz, universität wien, innsbruck, tirol, maria, schweiz, joseph, austria, weltkrieg, leopold"
Topic19,"gemeind, stadt, ort, jahrhundert, liegt, landkreis, kreis, dorf, einwohn, gebiet, strass, nördlich, befindet, südlich, nord, ortsteil, entstand, klein, süd, kilomet"
Topic20,"new, york, new york, city, staat, amerikan, york city, washington, john, usa, kongress, stat, arbeitet, county, zog, william, vereinigt staat, riv, vereinigt, gebor"
